Nazwa obrazu,Tekst tablicy rejestracyjnej,Ocena tablicy rejestracyjnej
automobile-1846297_1920.jpg,B 2228HM,0.975787144286797
car-6366999_1920.jpg,BP - 199- SN,0.8900096638431678
tablica-rejestracyjna.jpg,WE 984KV,0.6065113921704115
